sfdc_id	duplicate_count	most_recent_insert	oldest_insert	property_names	property_statuses	short_ids
a01Dn00000HHm3NIAT	3	2025-12-18T17:01:54.000Z	2023-05-22T20:26:16.000Z	"[""National"",""The National"",""The National Residences""]"	"[""ACTIVE"",""ACTIVE"",""DISABLED""]"	"[""ig2NaqEzED"",""dPENVXZ54w"",""cbU2J1Bp1V""]"
a01Dn00000HHhpdIAD	2	2025-12-17T22:45:14.000Z	2025-07-25T17:55:15.000Z	"[""Falls At Marina Bay"",""The Falls at Marina Bay""]"	"[""ACTIVE"",""DISABLED""]"	"[""9WckeyzaqC"",""2WHN8Ffk8k""]"
a01Dn00000HJ0OCIA1	2	2025-12-17T22:39:41.000Z	2023-08-01T16:01:21.000Z	"[""District at Parkview - MS"",""District at Parkview""]"	"[""ACTIVE"",""DISABLED""]"	"[""tlzXx1OAaN"",""LMvqvYtZlT""]"
a01Dn00000HHUK4IAP	2	2025-12-17T16:48:46.000Z	2025-01-15T17:49:50.000Z	"[""Preston at Hillwood"",""Preston at Hillwood""]"	"[""ACTIVE"",""DISABLED""]"	"[""MXOy9FVshy"",""Y30SFOUigY""]"
a01Dn00000HHHy6IAH	2	2025-12-17T14:47:21.000Z	2023-05-16T13:43:49.000Z	"[""Bell Lighthouse Point"",""Advenir Lighthouse Point""]"	"[""ACTIVE"",""ACTIVE""]"	"[""B07Mhkz6pE"",""Q0rUYtkvFf""]"
a01UL00000Hy9RdYAJ	3	2025-12-17T00:51:02.000Z	2022-05-03T23:21:24.000Z	"[""The Seven at West Boca"",""Seven at West Boca"",""Cielo Boca""]"	"[""ACTIVE"",""DISABLED"",""DISABLED""]"	"[""PA2nsY0g5t"",""5AhwZWkx8Z"",""JwGqdYDg06""]"
a01Dn00000HHqoRIAT	2	2025-12-17T00:49:11.000Z	2021-06-29T22:51:22.000Z	"[""Solero at Plantation"",""Solero at Plantation""]"	"[""DISABLED"",""ACTIVE""]"	"[""deRNlW2qzl"",""WqSVgVsyiM""]"
a01Dn00000HHMZtIAP	2	2025-12-17T00:33:49.000Z	2025-03-18T17:11:39.000Z	"[""Emerald Grove"",""Emerald Grove""]"	"[""ACTIVE"",""DISABLED""]"	"[""z0rtSvUbyV"",""JHbMN6aVo2""]"
a01UL00000PLuonYAD	2	2025-12-16T21:12:20.000Z	2025-06-18T16:48:17.000Z	"[""Territory at Williams Way - MS"",""Territory at Williams Way-1199-422c1be7-87b2-4898-890f-1ae2987dc065""]"	"[""ACTIVE"",""ACTIVE""]"	"[""xss8gbtPax"",""3226ed254a""]"
a01Dn00000HHpRBIA1	2	2025-12-16T21:10:50.000Z	2023-12-13T17:31:51.000Z	"[""Resia Biscayne Drive-1761-d6f42b30-d914-4fdb-ba9f-b9950654e5d4"",""Resia Biscayne Drive - MS""]"	"[""DISABLED"",""ACTIVE""]"	"[""772c86d5fd"",""hQKHCEX6un""]"
a01Dn00000HJLgAIAX	2	2025-12-16T21:03:50.000Z	2025-06-18T16:48:11.000Z	"[""Territory at 2920 - MS"",""Territory at 2920-1199-d102adcb-1c05-4567-ad3b-5cffe4f1b7ff""]"	"[""ACTIVE"",""ACTIVE""]"	"[""xIoQTd5Fkd"",""4e7a464a54""]"
