catalog,schema,table_name,full_table_name,row_count
product,iv,unity_calc_iv_cp_employer_analysis,product.iv.unity_calc_iv_cp_employer_analysis,966886
product,iv,unity_calc_iv_cp_submission_level_results,product.iv.unity_calc_iv_cp_submission_level_results,959373
product,ov,unity_iv_coverage_rate,product.ov.unity_iv_coverage_rate,953583
product,iv,unity_iv_submissions_with_flags,product.iv.unity_iv_submissions_with_flags,943448
product,fde,bal_sfdc_accounts_eligible_for_bal_sheet_1,product.fde.bal_sfdc_accounts_eligible_for_bal_sheet_1,94
product,av,dim_av,product.av.dim_av,9308028
crm,aln,purgedentities_bronze,crm.aln.purgedentities_bronze,9197699
product,fde,bal_sfdc_accounts_eligible_for_bal_cleaned_names,product.fde.bal_sfdc_accounts_eligible_for_bal_cleaned_names,91
product,iv,unity_iv_master_results,product.iv.unity_iv_master_results,8868341
crm,aln,activerowversion_bronze,crm.aln.activerowversion_bronze,859
crm,sfdc_dbx,product_property_user,crm.sfdc_dbx.product_property_user,82130
product,iv,unity_iv_calculations,product.iv.unity_iv_calculations,8189158
crm,aln,submarkets_bronze,crm.aln.submarkets_bronze,80153
crm,google_sheets,iv_accuracy_data,crm.google_sheets.iv_accuracy_data,8
product,fde,unity_company_clean,product.fde.unity_company_clean,750
crm,heap,snax_personal_info_click_on_next_page_step_new__raw,crm.heap.snax_personal_info_click_on_next_page_step_new__raw,744331
crm,heap,snax_proof_of_income_click_on_next_page_step_new__raw,crm.heap.snax_proof_of_income_click_on_next_page_step_new__raw,725710
product,iv,unity_income_calculation_results,product.iv.unity_income_calculation_results,724699
product,fde,temp_mim10202025_corrected_connected_payroll,product.fde.temp_mim10202025_corrected_connected_payroll,7213
crm,pendo_stg_pendo,stg_pendo__guide_step_history,crm.pendo_stg_pendo.stg_pendo__guide_step_history,7
crm,pendo_stg_pendo,stg_pendo__guide_history,crm.pendo_stg_pendo.stg_pendo__guide_history,7
crm,pendo,guide_history,crm.pendo.guide_history,7
crm,pendo,step_history,crm.pendo.step_history,7
crm,pendo,guide_step_history,crm.pendo.guide_step_history,7
crm,sfdc_dbx,new_properties_with_features,crm.sfdc_dbx.new_properties_with_features,7
product,iv,unity_iv_submission_error_details,product.iv.unity_iv_submission_error_details,695009
product,iv,updated_iv_calculation_ranks,product.iv.updated_iv_calculation_ranks,677959
crm,aln,activerowversion,crm.aln.activerowversion,646
crm,heap,properties_view_application_link_raw,crm.heap.properties_view_application_link_raw,6416264
crm,salesforce,case,crm.salesforce.case,60912
product,iv,bell_income_verification_lookback_analysis_employer_level,product.iv.bell_income_verification_lookback_analysis_employer_level,60106
crm,sfdc,__materialization_mat_643b8a70_135a_4920_afa5_5f8a6cef52a2_case_1,crm.sfdc.__materialization_mat_643b8a70_135a_4920_afa5_5f8a6cef52a2_case_1,59821
crm,heap,sessions_raw,crm.heap.sessions_raw,5967397
crm,pendo_stg_pendo,stg_pendo__feature_event,crm.pendo_stg_pendo.stg_pendo__feature_event,5967
crm,pendo,feature_event,crm.pendo.feature_event,5967
product,idv,unity_idv_raw_clean,product.idv.unity_idv_raw_clean,581811
crm,pendo,page_event,crm.pendo.page_event,5804
crm,pendo_stg_pendo,stg_pendo__page_event,crm.pendo_stg_pendo.stg_pendo__page_event,5804
product,ov,signed_msa,product.ov.signed_msa,58
product,iv,bell_income_verification_lookback_analysis,product.iv.bell_income_verification_lookback_analysis,56624
rds,pg_rds_av_av,document_properties_training,rds.pg_rds_av_av.document_properties_training,5599956
crm,heap,ndup_select_confirm_submit_raw,crm.heap.ndup_select_confirm_submit_raw,553170
crm,sfdc,event_log_643b8a70_135a_4920_afa5_5f8a6cef52a2,crm.sfdc.event_log_643b8a70_135a_4920_afa5_5f8a6cef52a2,547
crm,heap,snax_supporting_documents_click_on_next_page_step_new__raw,crm.heap.snax_supporting_documents_click_on_next_page_step_new__raw,545342
product,default,county_names_databricks_lookup,product.default.county_names_databricks_lookup,53892
product,ov,unity_iv_resubmission_rate,product.ov.unity_iv_resubmission_rate,531795
product,iv,update_unity_iv_calculations_with_ranks,product.iv.update_unity_iv_calculations_with_ranks,527377
crm,google_sheets,ov_track_responses,crm.google_sheets.ov_track_responses,5242
crm,google_sheets,iv_qc_form_responses,crm.google_sheets.iv_qc_form_responses,52274
product,ov,iv_rollout_date,product.ov.iv_rollout_date,52
crm,heap,user_migrations,crm.heap.user_migrations,516815
crm,sfdc_dbx,product_user,crm.sfdc_dbx.product_user,51049
crm,pendo_stg_pendo,stg_pendo__feature_history,crm.pendo_stg_pendo.stg_pendo__feature_history,5
crm,pendo,user,crm.pendo.user,5
crm,pendo,track_type_history,crm.pendo.track_type_history,5
crm,pendo,track_type_rule_history,crm.pendo.track_type_rule_history,5
crm,pendo,feature_element_path_rule_history,crm.pendo.feature_element_path_rule_history,5
crm,pendo_stg_pendo,stg_pendo__user,crm.pendo_stg_pendo.stg_pendo__user,5
crm,pendo,feature_history,crm.pendo.feature_history,5
product,iv,unity_agg_fde_iv_submissions,product.iv.unity_agg_fde_iv_submissions,4933997
product,fde,unity_applicant_details,product.fde.unity_applicant_details,4865480
product,iv,unity_source_income_verification,product.iv.unity_source_income_verification,4742726
product,fde,unity_requests_clean,product.fde.unity_requests_clean,4729124
crm,heap,dup_select_first_name_raw,crm.heap.dup_select_first_name_raw,470519
crm,heap,snax_review_submit_click_on_submit_new__raw,crm.heap.snax_review_submit_click_on_submit_new__raw,449268
product,embedded_dashboard,mat_property_submission_base,product.embedded_dashboard.mat_property_submission_base,4406871
product,fde,unity_fde,product.fde.unity_fde,43935713
crm,heap,dup_click_unit_number_raw,crm.heap.dup_click_unit_number_raw,435793
crm,aln,newconstruction,crm.aln.newconstruction,43207
crm,pendo,page_rule_history,crm.pendo.page_rule_history,4
crm,pendo_stg_pendo,stg_pendo__page_history,crm.pendo_stg_pendo.stg_pendo__page_history,4
crm,pendo_stg_pendo,stg_pendo__page_rule_history,crm.pendo_stg_pendo.stg_pendo__page_rule_history,4
