catalog,schema,table_name,full_table_name,row_count
team_sandbox,cda,azure_east_test_sfdc_product,team_sandbox.cda.azure_east_test_sfdc_product,337868850
system,access,audit,system.access.audit,164403079
product,fde,unity_fde,product.fde.unity_fde,43935713
team_sandbox,data_engineering,__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_bronze_fde_raw_1,team_sandbox.data_engineering.__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_bronze_fde_raw_1,28268312
team_sandbox,data_engineering,__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_silver_fde_cleaned_1,team_sandbox.data_engineering.__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_silver_fde_cleaned_1,28256742
system,access,column_lineage,system.access.column_lineage,27895127
team_sandbox,data_engineering,unity_non_agg_fde_iv_submissions,team_sandbox.data_engineering.unity_non_agg_fde_iv_submissions,27147815
product,iv,unity_iv_fde_ax,product.iv.unity_iv_fde_ax,23620699
team_sandbox,product_engineering,unity_iv_fde_ax,team_sandbox.product_engineering.unity_iv_fde_ax,20050050
crm,heap,pageviews_raw,crm.heap.pageviews_raw,19516361
product,iv,unity_iv_fde_submission_granularity,product.iv.unity_iv_fde_submission_granularity,18568770
crm,aln,apartments_bronze,crm.aln.apartments_bronze,18543153
team_sandbox,product_engineering,unity_iv_fde_submission_granularity,team_sandbox.product_engineering.unity_iv_fde_submission_granularity,16523430
product,av,av_fde,product.av.av_fde,16289304
product,fde,dim_fde,product.fde.dim_fde,16288921
rds,pg_rds_public,proof,rds.pg_rds_public.proof,16247373
team_sandbox,data_engineering,__materialization_mat_cd4dd595_7c55_442a_aeb7_33037ac14455_fa_prepared_1,team_sandbox.data_engineering.__materialization_mat_cd4dd595_7c55_442a_aeb7_33037ac14455_fa_prepared_1,16245713
team_sandbox,data_engineering,__materialization_mat_cd4dd595_7c55_442a_aeb7_33037ac14455_fa_live_1,team_sandbox.data_engineering.__materialization_mat_cd4dd595_7c55_442a_aeb7_33037ac14455_fa_live_1,16245713
team_sandbox,data_engineering,__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_dim_fde_1,team_sandbox.data_engineering.__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_dim_fde_1,15471048
crm,aln,contacts_bronze,crm.aln.contacts_bronze,15048911
team_sandbox,pete,avqc_v2,team_sandbox.pete.avqc_v2,15046589
rds,pg_rds_av_av,document_scores,rds.pg_rds_av_av.document_scores,13659336
rds,pg_rds_av_av,document_rulings,rds.pg_rds_av_av.document_rulings,13659336
rds,pg_rds_av_av,document_properties,rds.pg_rds_av_av.document_properties,13658753
product,av,av2,product.av.av2,13492083
team_sandbox,data_engineering,unity_av_mv_reporting,team_sandbox.data_engineering.unity_av_mv_reporting,13487590
product,reports,av_mv_reporting,product.reports.av_mv_reporting,13152468
rds,pg_rds_av_av,document_ruling_audits,rds.pg_rds_av_av.document_ruling_audits,12196145
product,av,av1,product.av.av1,12076016
rds,pg_rds_public,applicant_details,rds.pg_rds_public.applicant_details,11721121
product,av,static_av2,product.av.static_av2,10718855
product,default,av_fde,product.default.av_fde,10615140
team_sandbox,cda,sfdc_product,team_sandbox.cda.sfdc_product,9714731
team_sandbox,data_engineering,raw_av,team_sandbox.data_engineering.raw_av,9309126
team_sandbox,data_engineering,temp_av2,team_sandbox.data_engineering.temp_av2,9308900
product,av,dim_av,product.av.dim_av,9308028
crm,aln,purgedentities_bronze,crm.aln.purgedentities_bronze,9197699
product,iv,unity_iv_master_results,product.iv.unity_iv_master_results,8868341
team_sandbox,cda,sfdc_account_case_opp_lookup,team_sandbox.cda.sfdc_account_case_opp_lookup,8636966
team_sandbox,mehta_dbx,av_mv_reporting,team_sandbox.mehta_dbx.av_mv_reporting,8587870
product,iv,unity_iv_calculations,product.iv.unity_iv_calculations,8189158
system,query,history,system.query.history,8153946
team_sandbox,machine_learning,training_av_fde,team_sandbox.machine_learning.training_av_fde,7243483
crm,heap,properties_view_application_link_raw,crm.heap.properties_view_application_link_raw,6416264
rds,pg_rds_public,entry_log,rds.pg_rds_public.entry_log,6099423
crm,heap,sessions_raw,crm.heap.sessions_raw,5967397
team_sandbox,machine_learning,avml_6_2_payload,team_sandbox.machine_learning.avml_6_2_payload,5866946
system,access,table_lineage,system.access.table_lineage,5612067
rds,pg_rds_av_av,training_documents,rds.pg_rds_av_av.training_documents,5600037
rds,pg_rds_av_av,document_properties_training,rds.pg_rds_av_av.document_properties_training,5599956
team_sandbox,product_engineering,unity_iv_calculations,team_sandbox.product_engineering.unity_iv_calculations,5538774
product_engineering_ops,launchdarkly,rule_clause_changes_job,product_engineering_ops.launchdarkly.rule_clause_changes_job,5425019
product,iv,unity_agg_fde_iv_submissions,product.iv.unity_agg_fde_iv_submissions,4933997
product,fde,unity_applicant_details,product.fde.unity_applicant_details,4865480
product,iv,unity_source_income_verification,product.iv.unity_source_income_verification,4742726
