table_catalog,table_schema,table_name,full_table_name
team_sandbox,mehta_dbx,geocoded_sfdc_properties,team_sandbox.mehta_dbx.geocoded_sfdc_properties
system,lakeflow,pipelines,system.lakeflow.pipelines
rds,pg_rds_public,yardi_properties,rds.pg_rds_public.yardi_properties
team_sandbox,mehta_dbx,cohort_2021,team_sandbox.mehta_dbx.cohort_2021
rds,pg_rds_av_av,document_properties,rds.pg_rds_av_av.document_properties
team_sandbox,data_engineering,roi_zip_msa_code_database,team_sandbox.data_engineering.roi_zip_msa_code_database
team_sandbox,data_engineering,dim_date,team_sandbox.data_engineering.dim_date
team_sandbox,mehta_dbx,zip_code_database,team_sandbox.mehta_dbx.zip_code_database
team_sandbox,data_engineering,event_log_db217004_e945_4b9f_8b56_1f9d5b36a11c,team_sandbox.data_engineering.event_log_db217004_e945_4b9f_8b56_1f9d5b36a11c
team_sandbox,machine_learning,av2_champion_payload,team_sandbox.machine_learning.av2_champion_payload
product_engineering_ops,github,issue_referenced,product_engineering_ops.github.issue_referenced
team_sandbox,data_engineering,unity_prop_deactivation_exclusion,team_sandbox.data_engineering.unity_prop_deactivation_exclusion
rds,pg_rds_av_av,audit_decision_codes,rds.pg_rds_av_av.audit_decision_codes
crm,aln,activerowversion_bronze,crm.aln.activerowversion_bronze
system,compute,node_timeline,system.compute.node_timeline
product,fde,temp_mim10202025_corrected_document_upload,product.fde.temp_mim10202025_corrected_document_upload
team_sandbox,data_engineering,unity_property_duplicate_status,team_sandbox.data_engineering.unity_property_duplicate_status
rds,pg_rds_public,oban_peers,rds.pg_rds_public.oban_peers
team_sandbox,data_engineering,roi_msa_zip,team_sandbox.data_engineering.roi_msa_zip
team_sandbox,rev_ops,submission_review_time,team_sandbox.rev_ops.submission_review_time
rds,pg_rds_public,income_verification_results,rds.pg_rds_public.income_verification_results
product_engineering_ops,launchdarkly,segment,product_engineering_ops.launchdarkly.segment
rds,_fivetran_setup_test,setup_test_staging_d9e87764_6b32_43e1_a82f_b1315ae43c57,rds._fivetran_setup_test.setup_test_staging_d9e87764_6b32_43e1_a82f_b1315ae43c57
team_sandbox,mehta_dbx,aln_snappt_customer_lookup,team_sandbox.mehta_dbx.aln_snappt_customer_lookup
team_sandbox,data_engineering,roi_fraud_reduction,team_sandbox.data_engineering.roi_fraud_reduction
product_engineering_ops,github,security_alert,product_engineering_ops.github.security_alert
system,access,inbound_network,system.access.inbound_network
team_sandbox,mehta_dbx,churn_reporting,team_sandbox.mehta_dbx.churn_reporting
product_engineering_ops,github,issue_mention,product_engineering_ops.github.issue_mention
product_sandbox,fde,unity_epa_sipp_properties,product_sandbox.fde.unity_epa_sipp_properties
crm,pendo,page_event,crm.pendo.page_event
system,query,history,system.query.history
team_sandbox,data_engineering,raw_av,team_sandbox.data_engineering.raw_av
team_sandbox,mehta_dbx,temp_geocached_testing,team_sandbox.mehta_dbx.temp_geocached_testing
team_sandbox,product_engineering,update_unity_iv_calculations_with_ranks,team_sandbox.product_engineering.update_unity_iv_calculations_with_ranks
product_engineering_ops,launchdarkly,feature_flag_variation,product_engineering_ops.launchdarkly.feature_flag_variation
team_sandbox,mehta_dbx,cln_aln_apartments,team_sandbox.mehta_dbx.cln_aln_apartments
crm,sfdc_dbx,product_property_feature_sync,crm.sfdc_dbx.product_property_feature_sync
product_engineering_ops,github_github_source,stg_github__issue_closed_history,product_engineering_ops.github_github_source.stg_github__issue_closed_history
rds,pg_rds_public,staging_activation_backfill,rds.pg_rds_public.staging_activation_backfill
team_sandbox,mehta_dbx,geocoded_product_properties,team_sandbox.mehta_dbx.geocoded_product_properties
crm,aln,markets,crm.aln.markets
rds,pg_rds_public,id_verifications,rds.pg_rds_public.id_verifications
crm,salesforce,opportunity,crm.salesforce.opportunity
product_engineering_ops,github,commit_parent,product_engineering_ops.github.commit_parent
crm,pendo_stg_pendo,stg_pendo__page_rule_history,crm.pendo_stg_pendo.stg_pendo__page_rule_history
crm,heap,dup_select_first_name_raw,crm.heap.dup_select_first_name_raw
team_sandbox,pete,avqc_v2,team_sandbox.pete.avqc_v2
rds,pg_rds_dp_income_validation_iv,calculations,rds.pg_rds_dp_income_validation_iv.calculations
crm,aln,apartments_bronze,crm.aln.apartments_bronze
