catalog,schema,table_name,full_table_name,row_count,size_gb,num_files
team_sandbox,cda,azure_east_test_sfdc_product,team_sandbox.cda.azure_east_test_sfdc_product,337868850,0.01,1
system,access,audit,system.access.audit,164403079,,
product,fde,unity_fde,product.fde.unity_fde,43935713,8.77,140
team_sandbox,data_engineering,__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_bronze_fde_raw_1,team_sandbox.data_engineering.__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_bronze_fde_raw_1,28268312,6.77,22
team_sandbox,data_engineering,__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_silver_fde_cleaned_1,team_sandbox.data_engineering.__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_silver_fde_cleaned_1,28256742,6.75,24
system,access,column_lineage,system.access.column_lineage,27895127,,
team_sandbox,data_engineering,unity_non_agg_fde_iv_submissions,team_sandbox.data_engineering.unity_non_agg_fde_iv_submissions,27147815,6.78,100
product,iv,unity_iv_fde_ax,product.iv.unity_iv_fde_ax,23620699,49.06,104
team_sandbox,product_engineering,unity_iv_fde_ax,team_sandbox.product_engineering.unity_iv_fde_ax,20050050,19.28,77
crm,heap,pageviews_raw,crm.heap.pageviews_raw,19516361,1.14,74
product,iv,unity_iv_fde_submission_granularity,product.iv.unity_iv_fde_submission_granularity,18568770,3.24,100
crm,aln,apartments_bronze,crm.aln.apartments_bronze,18543153,11.59,132
team_sandbox,product_engineering,unity_iv_fde_submission_granularity,team_sandbox.product_engineering.unity_iv_fde_submission_granularity,16523430,2.71,87
product,av,av_fde,product.av.av_fde,16289304,8.69,200
product,fde,dim_fde,product.fde.dim_fde,16288921,7.56,200
rds,pg_rds_public,proof,rds.pg_rds_public.proof,16247373,9.21,181
team_sandbox,data_engineering,__materialization_mat_cd4dd595_7c55_442a_aeb7_33037ac14455_fa_prepared_1,team_sandbox.data_engineering.__materialization_mat_cd4dd595_7c55_442a_aeb7_33037ac14455_fa_prepared_1,16245713,15.09,32
team_sandbox,data_engineering,__materialization_mat_cd4dd595_7c55_442a_aeb7_33037ac14455_fa_live_1,team_sandbox.data_engineering.__materialization_mat_cd4dd595_7c55_442a_aeb7_33037ac14455_fa_live_1,16245713,15.1,35
