,Property Name,Previous Property Name,Street Address,City,State,Zip,Sales Rep,Snappt POC, Property Unit Count ,FD Start Date (Customer Start Date),IDV Start Date,IV/CP Start Date,Onboarded Revenue Helper Column - Start Date Check,Billing Software,Property Billing Contact,Corporate Billing Contact,PMS,Rev Model,Monthly Rev (MRR),Monthly Minimum ,Contract Type,MGMT,SFDC Property ID,Ownership,Ownership Contact Name + Email Address,"Building Contact Name aka Primary Point of Contact (at Property)
[OPTIONAL]","Contact Info
[OPTIONAL]","Regional Manager
[OPTIONAL]",Status,,1-5k 4/29/25 roll out
New Property,Wesley Trevento,,,Lithia Springs,GA,,DG,Terene,  466 ,7/14/2019,,7/29/25,1,Ops,,,Yardi,SaaS,$582.50,,30 day out,Wesley Apartment Homes,a01Dn00000HHbWiIAL,Wesley,,Ashley Riddley,manager@wesleytrevento.com,Ignacio Taboada:  itaboada@wesleyapartments.com,Live,,#N/A
New Property,Wesley Place,,,Lawrence Springs,GA,,DG,Terene,  511 ,7/15/2019,,7/29/25,1,,,,Yardi,SaaS,$638.75,,30 day out,Wesley Apartment Homes,a01Dn00000HHbWTIA1,Wesley,,unknown name,manager@wesleyplace.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Circa LA,,,Los Angeles,CA,,DC,Terene,  648 ,9/23/2019,8/27/25,5/6/25,1,GCB,,,RealPage,PPR,$719.28,,30 day out,Greystar,a01Dn00000HHgCMIA1,Hankey Investment,,Luke Banham,gm.circala@greystar.com,Jennifer jackson -jennifer.jackson@greystar.com,Live,,#N/A
New Property,Whitehall Parc,,,Charlotte,NC,,DG,Terene,  298 ,10/9/2019,,5/6/25,1,GCB,,,RealPage,PPR,$330.78,,30 day out,Greystar,a01Dn00000HHc7pIAD,Eaton Vance,,Unique Parks,whitehallparcmgr@greystar.com,Lindsay Stanley - lindsay.stanley@greystar.com,Live,,#N/A
New Property,Verdant at Green Valley,,,San Jose,CA,,DC,Terene,  286 ,10/11/2019,,8/12/25,1,, AP-2551773-17373@entrata.com,invoices@fpimgt.com,Yardi,SaaS,$414.70,,30 day out,FPI Management,a01Dn00000HHseCIAT,Catalyst Housing,,Chantee McWhorter,verdant.cd@fpimgt.com,jennifer.blitch@fpimgt.com,Live,,#N/A
New Property,NoHo 14,,,North Hollywood,CA,,DC,Terene,  180 ,2/5/2020,4/7/25,4/7/25,1,GCB,,,RealPage,SaaS,$225.00,,30 day out,Greystar,a01Dn00000HHTFWIA5,UBS,,Sharon Medford,noho14mgr@greystar.com,Ryan Trainor - ryan.trainor@greystar.com,Live,,#N/A
New Property,Wesley Townsend,,,Atlanta,GA,,DG,Terene,  144 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$180.00,,30 day out,Wesley Apartment Homes,a01Dn00000HHbWhIAL,Wesley,,unknown name,manager@wesleytownsend.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,The Kirkwood,,,Kirkwood,GA,,DG,Terene,  232 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$290.00,,30 day out,Wesley Apartment Homes,a01Dn00000HHQRFIA5,Wesley,,Christohper Sullivan,manager@liveatkirkwood.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Arbor Mill,,,Norcross,GA,,DG,Terene,  274 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$342.50,,30 day out,Wesley Apartment Homes,a01Dn00000HHGnaIAH,Wesley,,unknown name,manager@arbormill.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Stillwood Farms,,,Newnan,GA,,DG,Terene,  298 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$372.50,,30 day out,Wesley Apartment Homes,a01Dn00000HHYk5IAH,Wesley,,unknown name,manager@rentstillwood.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
