rds_id,rds_name,rds_short_id,rds_status,rds_sfdc_id,rds_address,rds_city,rds_state,rds_idv_enabled,rds_created,sf_record_id,sf_name,sf_short_id,sf_status,snappt_property_id_c,sf_property_id_c,sf_address,sf_city,sf_state,sf_idv_enabled,sf_fraud_enabled,sf_income_enabled,sf_bank_enabled,sf_created,sf_modified,name_match_status,sfdc_id_match_status
457f1834-3065-41cf-b514-6adce13b1db2,Holly Springs Meadows,wNjw17Y6s9,ACTIVE,a01Dn00000HHPb0IAH,5521 Marlboro Pike,District Heights,MD,true,2025-11-20T05:05:36.000Z,a13UL00000hJHKTYA4,Holly Springs Meadows,wNjw17Y6s9,ACTIVE,457f1834-3065-41cf-b514-6adce13b1db2,a01Dn00000HHPb0IAH,5521 Marlboro Pike,District Heights,,false,true,false,false,2025-11-20T14:21:24.000Z,2026-01-05T10:03:57.000Z,Exact Match,SFDC ID Match
acf300ad-1a48-45f7-93ad-9971618ffa30,Woods at Addison,WC1gYxSKeX,ACTIVE,a01Dn00000HHtsYIAT,6500 Ronald Road,Capitol Heights,MD,true,2025-11-20T05:04:22.000Z,a13UL00000hJHKUYA4,Woods at Addison,WC1gYxSKeX,ACTIVE,acf300ad-1a48-45f7-93ad-9971618ffa30,a01Dn00000HHtsYIAT,6500 Ronald Road,Capitol Heights,,false,true,false,false,2025-11-20T14:21:24.000Z,2026-01-05T10:04:08.000Z,Exact Match,SFDC ID Match
1dac1e82-17fb-4deb-bbf9-200b02dba666,Rustico,m5gXNw8Ejw,ACTIVE,a01Dn00000HHXEPIA5,27595 IH-10W bo,Boerne,TX,true,2025-11-19T23:56:44.000Z,a13UL00000hM1SVYA0,Rustico,m5gXNw8Ejw,ACTIVE,1dac1e82-17fb-4deb-bbf9-200b02dba666,,,Boerne,TX,true,true,true,false,2025-11-20T20:12:23.000Z,2025-12-05T18:17:32.000Z,Exact Match,SFDC ID Mismatch
96864a28-5671-41eb-9240-9589e3fcf23b,Albion in the Gulch,Fu7nvUVlSB,ACTIVE,a01Dn00000HHGXFIA5,645 Division Street,Nashville,TN,true,2025-11-19T23:20:11.000Z,a13UL00000hJHKWYA4,Albion in the Gulch,Fu7nvUVlSB,ACTIVE,96864a28-5671-41eb-9240-9589e3fcf23b,a01Dn00000HHGXFIA5,645 Division Street,Nashville,,false,true,true,true,2025-11-20T14:21:24.000Z,2026-01-05T10:04:07.000Z,Exact Match,SFDC ID Match
71478a4f-0b64-4880-83e2-f2631e319bc4,Vickers Roswell,5ktShMcOgz,ACTIVE,a01Dn00000HHaKnIAL,1180 Canton Street,Roswell,GA,true,2025-11-19T23:11:20.000Z,a13UL00000hJHNmYAO,Vickers Roswell,5ktShMcOgz,ACTIVE,71478a4f-0b64-4880-83e2-f2631e319bc4,a01Dn00000HHaKnIAL,1180 Canton Street,Roswell,,false,false,false,false,2025-11-20T14:21:24.000Z,2025-11-20T14:42:26.000Z,Exact Match,SFDC ID Match
8d24a1d9-852d-4989-825e-cbc2ef04e010,Lark,6e2xtw2aH5,ACTIVE,a01Dn00000HHkGTIA1,1009 Northwest 206th Avenue,Hillsboro,OR,false,2025-11-19T19:58:31.000Z,a13UL00000hJHNoYAO,Lark,6e2xtw2aH5,ACTIVE,8d24a1d9-852d-4989-825e-cbc2ef04e010,a01Dn00000HHkGTIA1,1009 Northwest 206th Avenue,Hillsboro,,false,false,false,false,2025-11-20T14:21:24.000Z,2025-11-20T14:41:32.000Z,Exact Match,SFDC ID Match
df6cf153-8638-4856-a3c4-3edccc49eca5,The Quarry Alamo Heights,Krn8NsN7JX,ACTIVE,a01Dn00000HHozsIAD,340 Treeline Park,San Antonio,TX,true,2025-11-19T19:53:56.000Z,a13UL00000hJHKVYA4,The Quarry Alamo Heights,Krn8NsN7JX,ACTIVE,df6cf153-8638-4856-a3c4-3edccc49eca5,a01Dn00000HHozsIAD,340 Treeline Park,San Antonio,,false,true,true,false,2025-11-20T14:21:24.000Z,2026-01-05T10:04:01.000Z,Exact Match,SFDC ID Match
dd9aeedb-f1ba-4bae-ac1e-9a5933636e16,The Eddy Residences,SuMPQn1XaB,ACTIVE,a01Dn00000HJ2XbIAL,1700 S Pacific Coast Hwy,Redondo Beach,CA,false,2025-11-19T19:19:26.000Z,a13UL00000hJHNpYAO,The Eddy Residences,SuMPQn1XaB,ACTIVE,dd9aeedb-f1ba-4bae-ac1e-9a5933636e16,a01Dn00000HJ2XbIAL,1700 S Pacific Coast Hwy,Redondo Beach,,false,true,true,true,2025-11-20T14:21:24.000Z,2025-12-20T11:19:51.000Z,Exact Match,SFDC ID Match
b8382f64-a3b9-48f6-af41-34d37f85dfeb,Wildwood Creek,oir3XCChFF,ACTIVE,a01Dn00000HHvTtIAL,820 East Dove Loop Road,Grapevine,TX,true,2025-11-19T19:02:11.000Z,a13UL00000hJHPlYAO,Wildwood Creek,oir3XCChFF,ACTIVE,b8382f64-a3b9-48f6-af41-34d37f85dfeb,a01Dn00000HHvTtIAL,820 East Dove Loop Road,Grapevine,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:00.000Z,Exact Match,SFDC ID Match
d51c28c3-0f34-4b28-bab5-8e879a60264e,Westminster Row,wbGJE6Egqt,ACTIVE,a01Dn00000HHtUdIAL,8980 Westminster Boulevard,Westminster,CO,true,2025-11-19T19:00:39.000Z,a13UL00000hJHPpYAO,Westminster Row,wbGJE6Egqt,ACTIVE,d51c28c3-0f34-4b28-bab5-8e879a60264e,a01Dn00000HHtUdIAL,8980 Westminster Boulevard,Westminster,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:01.000Z,Exact Match,SFDC ID Match
bee50962-7a1d-43b3-9838-ac119db563a1,The Livingston,agqTgYVXXc,ACTIVE,a01Dn00000HHkinIAD,6301 Windhaven Parkway,Plano,TX,true,2025-11-19T18:59:03.000Z,a13UL00000hJHPmYAO,The Livingston,agqTgYVXXc,ACTIVE,bee50962-7a1d-43b3-9838-ac119db563a1,a01Dn00000HHkinIAD,6301 Windhaven Parkway,Plano,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:09.000Z,Exact Match,SFDC ID Match
faf624cd-3274-4a23-8378-aa884d32f801,Sorella,BQBQkxCQff,ACTIVE,a01UL00000I6mCVYAZ,3000 West Bates Avenue,Denver,CO,true,2025-11-19T18:57:26.000Z,a13UL00000hJHPoYAO,Sorella,BQBQkxCQff,ACTIVE,faf624cd-3274-4a23-8378-aa884d32f801,a01UL00000I6mCVYAZ,3000 West Bates Avenue,Denver,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:11.000Z,Exact Match,SFDC ID Match
2c87819c-4674-4597-bfe1-8f2c37bf0fe8,Palm Beach Reserve,VzzHBU7OuI,ACTIVE,a01Dn00000HHmpVIAT,7080 Banyan Leaf Drive,West Palm Beach,FL,true,2025-11-19T18:56:10.000Z,a13UL00000hJHPrYAO,Palm Beach Reserve,VzzHBU7OuI,ACTIVE,2c87819c-4674-4597-bfe1-8f2c37bf0fe8,a01Dn00000HHmpVIAT,7080 Banyan Leaf Drive,West Palm Beach,,false,false,false,false,2025-11-20T14:21:29.000Z,2025-11-20T14:41:54.000Z,Exact Match,SFDC ID Match
5613d091-b293-4408-a96b-a96dd5ec9784,LoHi Gold,MxBnIs8MF8,ACTIVE,a01Dn00000HHRZFIA5,2424 West Caithness Place,Denver,CO,true,2025-11-19T18:54:25.000Z,a13UL00000hJHPnYAO,LoHi Gold,MxBnIs8MF8,ACTIVE,5613d091-b293-4408-a96b-a96dd5ec9784,a01Dn00000HHRZFIA5,2424 West Caithness Place,Denver,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:05.000Z,Exact Match,SFDC ID Match
