rds_id,rds_name,rds_short_id,rds_sfdc_id,staging_id,staging_snappt_id,staging_production_id,pipeline_status,rds_id_to_snappt_id,rds_sfdc_to_staging_id,rds_sfdc_to_production_id
b6d1d00d-e4da-4d5f-8d10-539dcc267367,Calypso Apartments,Oz9q3YeXdS,a01UL00000d5mbrYAA,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
6ec20b36-1799-4697-9930-e454e3c47611,One Lakefront,8A99mk6vKY,a01Dn00000HHTwNIAX,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
5daa34fc-7b3f-4dbc-b356-43f1cb18b78c,Nita Santa Fe,DY5vJxuvbg,a01UL00000aqZkyYAE,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
acb83dff-94b6-416a-add6-92c904cf1515,Maestro,4QQk6PJbSO,a01Dn00000HHkslIAD,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
02846f85-b02a-4ffc-8bdb-8eb9efa1002d,Juxt,CPxgcdAHNT,a01Dn00000HHQCIIA5,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
4a5d4d03-7ebf-4375-b162-79fe124ab5bd,Inspiration at Frank Lloyd Wright,t3tu6bqrM6,a01Dn00000HHPxUIAX,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
b1168d87-6aa2-4012-b54f-29ada6a140e1,Huxley,Ei5fYIS2s2,a01Dn00000HHPf3IAH,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
44bd9c76-c215-42d9-add5-38b7164c07e3,HUB 9,bZP5jYXVh2,a01Dn00000HHPkpIAH,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
a2d2017a-f99a-48d1-8676-fe38682a34f1,Commons Park West,50cg7BfYxO,a01Dn00000HHKpEIAX,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
4d8c6d50-5d26-4cef-95ef-b3bdb6992eb8,Bella Terra,vEafjvLFxy,a01Dn00000HHelbIAD,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
9e39b5b2-6b83-4d94-80ed-15ea7a02fa6b,Adera,ZuQS13Kn7o,a01UL00000aqKAqYAM,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
9cfa7879-da0b-4b02-8352-d663ec3e1edf,Mt Olive Townhomes,5TLILMqotp,a01Dn00000HHlz0IAD,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
55069d12-fd28-41d6-83b8-bb5990c24647,The Arlowe,ZNVVmAGmCq,a01Dn00000HHGzUIAX,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
5d58f7fa-e19a-4c5e-bfee-94e4ebb7ff6a,ibex Sweetwater,b87YrbhfXS,a01Dn00000HHSRHIA5,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
2e167356-c6d7-4beb-9016-2b8137cda16d,ibex Park,WLmwjzZDdB,a01Dn00000HHNaQIAX,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
4610c50b-57f1-4f9c-8893-88efa36583a0,Centerview Park,uOKHHAnCbT,a01Dn00000HHJrvIAH,,,,1. NOT IN STAGING,✗ No match,✗ No match,✗ No match
