Primary Identifier	Status	Error Reason	Source Record Payload		Error Reason																				
77406d0d-fdca-4009-90b9-865a92b26774	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted pickli...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"765 14th Avenue\",\"bank_statement\":\"2\",\"city\":\"San Francisco\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"nobhillplace@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"765 14th Avenue - FTA\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"77406d0d-fdca-4009-90b9-865a92b26774\",\"salesforce_property_id\":\"a01UL000006zaszYAA\",\"short_id\":\"1373c1eef9\",\"snappt_property_id\":\"4292c373-9611-4836-a5e8-43a0b18983dd\",\"status\":\"ACTIVE\",\"unit\":\"6\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"94118\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted pickli...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--																				
3c4d760b-fe4e-49ce-934e-a1ad973f496a	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"210 Quest Park Street\",\"bank_statement\":\"2\",\"city\":\"Henderson\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"cstmgr@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"Cornerstone Park - CST\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"3c4d760b-fe4e-49ce-934e-a1ad973f496a\",\"salesforce_property_id\":\"a01Dn00000HHgiCIAT\",\"short_id\":\"79f8d1129a\",\"snappt_property_id\":\"62c14c28-9a13-42b1-b1f8-d74fb9d8bad5\",\"status\":\"ACTIVE\",\"unit\":\"310\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"89074\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--																				
654b1b65-0fb4-44b9-b229-27b02cfd0d6d	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"15773 High Knoll Dr\",\"bank_statement\":\"2\",\"city\":\"Chino Hills\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"villageoaksca@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"Village Oaks CA - VOA\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"654b1b65-0fb4-44b9-b229-27b02cfd0d6d\",\"salesforce_property_id\":\"a01Dn00000HHsg2IAD\",\"short_id\":\"87b749fdd5\",\"snappt_property_id\":\"440c1743-b96c-4076-9e5f-bc300d763afd\",\"status\":\"ACTIVE\",\"unit\":\"280\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"91709\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: AvalonBay Communities. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--																				
c7ce2203-1149-4932-b2cb-b707b6d80867	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted pickli...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"21309 Bloomfield Ave\",\"bank_statement\":\"2\",\"city\":\"Lakewood\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"sesmgr@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"Seasons II Senior - SES\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"c7ce2203-1149-4932-b2cb-b707b6d80867\",\"salesforce_property_id\":\"a01Dn00000HHXKxIAP\",\"short_id\":\"afda2e7661\",\"snappt_property_id\":\"48f135c0-3cb2-43da-807d-075b557f92c0\",\"status\":\"ACTIVE\",\"unit\":\"85\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"90715\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Advenir Azora Living LLC. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--																				
e769978b-7958-4363-b353-bcfb93962636	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted pickli...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"255 Washington Rd\",\"bank_statement\":\"2\",\"city\":\"Chowchilla\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"wsqmgr@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"Washington Square - WSQ\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"e769978b-7958-4363-b353-bcfb93962636\",\"salesforce_property_id\":\"a01Dn00000HHbJXIA1\",\"short_id\":\"baad8fe5ad\",\"snappt_property_id\":\"b39682b6-0d07-4fa7-8f61-fe065ee0ba5e\",\"status\":\"ACTIVE\",\"unit\":\"57\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"93610\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Yardi Systems. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--																				
4ef14f7d-b28b-42e5-a332-0391142ade07	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: AvalonBay Communities. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"AvalonBay Communities\",\"address\":\"366 Broadway\",\"bank_statement\":\"2\",\"city\":\"Amityville\",\"company_id\":\"e941b225-8fb5-479c-a5d4-fc23692ccb1c\",\"company_name\":\"AvalonBay Communities\",\"company_short_id\":\"2ThHFslqV4\",\"email\":\"SnapptSupport@avalonbay.com\",\"entity_name\":\"NY051 \",\"logo\":null,\"name\":\"Avalon Amityville\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"4ef14f7d-b28b-42e5-a332-0391142ade07\",\"salesforce_property_id\":\"a01Dn00000HJF72IAH\",\"short_id\":\"WhGBmVJfTA\",\"snappt_property_id\":\"fe8b7426-3491-4c58-98d0-25cb514f3e0f\",\"status\":\"ACTIVE\",\"unit\":\"338\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"11701\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Yardi Systems. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Yardi Systems. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Yardi Systems. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68126 (1999194739):--																				
934d01ae-dcb0-4e4d-ac5d-06ffbd885832	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"1201 E Ponderosa Parkway\",\"bank_statement\":\"2\",\"city\":\"Flagstaff\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"ponmgr@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"Ponderosa Park - PON\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"934d01ae-dcb0-4e4d-ac5d-06ffbd885832\",\"salesforce_property_id\":\"a01Dn00000HHnf1IAD\",\"short_id\":\"80068288d7\",\"snappt_property_id\":\"842b9cdc-c558-435c-9a14-6e554cee5186\",\"status\":\"ACTIVE\",\"unit\":\"120\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"86001\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Yardi Breeze. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Yardi Breeze. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Yardi Breeze. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for re...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68126 (1999194739):--																				
32a3ee17-62a0-48fc-ae6a-c8d9832cfa35	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"5170 E. Asbury Ave\",\"bank_statement\":\"2\",\"city\":\"Denver\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"asburyplaza@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"Asbury Plaza - ABP\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"32a3ee17-62a0-48fc-ae6a-c8d9832cfa35\",\"salesforce_property_id\":\"a01Dn00000HHeMAIA1\",\"short_id\":\"2cac01a755\",\"snappt_property_id\":\"064156b6-547d-4e38-bcba-2dbb63edbc95\",\"status\":\"ACTIVE\",\"unit\":\"110\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"80222\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: TenantCloud LLC dba Rentler. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: TenantCloud LLC dba Rentler. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: TenantCloud LLC dba Rentler. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLI...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68126 (1999194739):--																				
dc96dfd5-c5a7-4cdd-b199-190d6c5da9b1	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted pickli...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"23 Nelson Ave.\",\"bank_statement\":\"2\",\"city\":\"Oroville\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"siemgr@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"Sierra Village - SIE\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"dc96dfd5-c5a7-4cdd-b199-190d6c5da9b1\",\"salesforce_property_id\":\"a01Dn00000HHXomIAH\",\"short_id\":\"433219907a\",\"snappt_property_id\":\"f0027f7d-6320-4590-b78b-c759eee0b9f1\",\"status\":\"ACTIVE\",\"unit\":\"61\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"95965\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: AvalonBay Communities. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: AvalonBay Communities. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: AvalonBay Communities. You can look up ExceptionCode values in the SOAP API Developer Guide.---This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property C...ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68126 (1999194739):--																				
97284e23-2ccf-474e-a1ab-22e45f4eb15c	Rejected	CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68140 (1999194739):--	"{\"IsPartnerProperty\":\"1\",\"PropertyCreatedBy\":\"Inhabit\",\"address\":\"17805 N 40th Street\",\"bank_statement\":\"2\",\"city\":\"Phoenix\",\"company_id\":\"fcef35fc-516f-4d2a-9898-2dd4a9a8676e\",\"company_name\":\"Inhabit\",\"company_short_id\":\"syg19UbbTq\",\"email\":\"seventeen805@amcllc.net\",\"entity_name\":null,\"logo\":null,\"name\":\"Seventeen 805 - SVN\",\"paystub\":\"2\",\"phone\":null,\"phone_is_required\":\"1\",\"product_type\":\"FDE\",\"reverse_etl_id\":\"97284e23-2ccf-474e-a1ab-22e45f4eb15c\",\"salesforce_property_id\":\"a01Dn00000HHqhYIAT\",\"short_id\":\"db209583b5\",\"snappt_property_id\":\"5bba745b-251a-4682-ba12-b11381500582\",\"status\":\"ACTIVE\",\"unit\":\"138\",\"unit_is_required\":\"1\",\"website\":null,\"zip\":\"85032\"}"		CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Product Property | After | Rollup Flow” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: FDE Property Created By: bad value for restricted picklist field: Inhabit. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68126 (1999194739)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1633377671-68126 (1999194739):--																				
