table_name	total_queries	unique_users	first_access	last_access	read_queries	write_queries	avg_queries_per_day	days_since_last_access	read_percentage
rds.pg_rds_public.entries	51917	76	2025-08-19T00:01:07.389+00:00	2025-11-17T17:24:29.800+00:00	51917	0	576.86	0	100
rds.pg_rds_public.folders	40317	76	2025-08-19T00:01:07.397+00:00	2025-11-17T17:24:29.800+00:00	40317	0	447.97	0	100
rds.pg_rds_public.applicants	29951	65	2025-08-19T00:01:07.397+00:00	2025-11-17T17:24:29.800+00:00	29951	0	332.79	0	100
rds.pg_rds_public.income_verification_reviews	26262	32	2025-08-19T00:00:57.451+00:00	2025-11-17T17:20:58.793+00:00	26262	0	291.8	0	100
rds.pg_rds_public.proof	24800	62	2025-08-19T00:00:36.953+00:00	2025-11-17T17:24:29.800+00:00	24800	0	275.56	0	100
rds.pg_rds_public.properties	22140	73	2025-08-19T00:02:52.069+00:00	2025-11-17T17:24:29.800+00:00	22140	0	246	0	100
rds.pg_rds_public.companies	19724	68	2025-08-19T00:02:52.069+00:00	2025-11-17T17:24:29.800+00:00	19724	0	219.16	0	100
rds.pg_rds_public.applicant_submission_document_sources	11085	38	2025-08-19T00:01:07.390+00:00	2025-11-17T16:48:46.569+00:00	11085	0	123.17	0	100
rds.pg_rds_public.income_verification_submissions	10312	32	2025-08-19T00:01:07.390+00:00	2025-11-17T17:00:40.501+00:00	10312	0	114.58	0	100
rds.pg_rds_public.applicant_submissions	7329	38	2025-08-19T00:01:07.397+00:00	2025-11-17T17:07:19.538+00:00	7329	0	81.43	0	100
rds.pg_rds_dp_income_validation_iv.calculations	5529	29	2025-08-19T03:47:40.164+00:00	2025-11-17T16:23:49.567+00:00	5529	0	61.43	0	100
rds.pg_rds_dp_income_validation_iv.calculation_documents	5452	28	2025-08-19T03:47:40.164+00:00	2025-11-17T16:24:25.621+00:00	5452	0	60.58	0	100
rds.pg_rds_public.id_verifications	3696	30	2025-08-19T14:51:36.673+00:00	2025-11-17T16:10:13.705+00:00	3696	0	41.07	0	100
rds.pg_rds_public.users	3261	43	2025-08-19T00:02:52.076+00:00	2025-11-17T16:03:57.883+00:00	3261	0	36.23	0	100
rds.pg_rds_public.property_features	2335	44	2025-08-19T00:02:52.069+00:00	2025-11-17T16:48:46.577+00:00	2335	0	25.94	0	100
rds.pg_rds_enterprise_public.enterprise_property	1190	31	2025-08-19T03:49:57.817+00:00	2025-11-17T16:48:46.571+00:00	1190	0	13.22	0	100
rds.pg_rds_public.income_verification_results	1153	20	2025-08-20T14:53:03.504+00:00	2025-11-17T17:07:19.538+00:00	1153	0	12.81	0	100
rds.pg_rds_dp_di_di.inferences	1056	12	2025-08-20T14:40:57.368+00:00	2025-11-17T14:25:57.809+00:00	1056	0	11.73	0	100
rds.pg_rds_enterprise_public.enterprise_integration_configuration	772	31	2025-08-19T03:49:57.818+00:00	2025-11-17T16:48:46.571+00:00	772	0	8.58	0	100
rds.pg_rds_dp_di_di.asset_verifications	735	10	2025-08-22T18:16:18.716+00:00	2025-11-14T21:38:48.426+00:00	735	0	8.17	3	100
rds.pg_rds_public.rent_verifications	710	4	2025-10-31T14:18:54.060+00:00	2025-11-17T15:21:13.562+00:00	710	0	7.89	0	100
rds.pg_rds_dp_di_di.asset_verification_review	655	8	2025-08-22T18:16:18.716+00:00	2025-11-13T16:19:33.397+00:00	655	0	7.28	4	100
rds.pg_rds_ax_public.argyle_documents	629	10	2025-08-21T16:32:06.332+00:00	2025-11-13T22:01:50.944+00:00	629	0	6.99	4	100
rds.pg_rds_ax_public.applicants	600	10	2025-08-21T18:40:37.944+00:00	2025-11-13T22:01:50.944+00:00	600	0	6.67	4	100
rds.pg_rds_ax_public.applicant_submissions	574	10	2025-08-21T18:40:37.944+00:00	2025-11-13T22:01:50.944+00:00	574	0	6.38	4	100
