snappt_property_id_c,reverse_etl_id_c,name,fraud_detection_enabled_c,fraud_detection_start_date_c,fraud_detection_updated_date_c,income_verification_enabled_c,income_verification_start_date_c,income_verification_updated_date_c,id_verification_enabled_c,id_verification_start_date_c,id_verification_updated_date_c,idv_only_enabled_c,idv_only_start_date_c,idv_only_updated_date_c,connected_payroll_enabled_c,connected_payroll_start_date_c,connected_payroll_updated_date_c,bank_linking_enabled_c,bank_linking_start_date_c,bank_linking_updated_date_c,verification_of_rent_enabled_c,vor_start_date_c,vor_updated_date_c
73842c78-d94c-4885-89ea-44afbab4aed3,73842c78-d94c-4885-89ea-44afbab4aed3,056-003 - Sugartree Apartments,True,2025-10-17 22:51:08,,False,,,False,,,False,,,False,,,False,,,False,,
d837d398-c470-4468-9f7e-3b2495ee8134,d837d398-c470-4468-9f7e-3b2495ee8134,1-Bedroom Bonus & Sitting RMUTILTIES INCLUDED 798071,True,2025-11-05 19:27:56,,True,2025-11-05 19:27:57,2025-11-05 19:27:57,False,,,False,,,False,,,False,,,False,,
494b527b-3c65-45a2-8d0d-e0d5d16dda37,494b527b-3c65-45a2-8d0d-e0d5d16dda37,"100 Aiken Ave. Lowell, MA b8fcdf7f-23a7-42ad-9953-05dfbf71313f",True,2025-09-17 01:15:10,,True,2025-09-17 01:15:10,2025-09-17 01:15:10,False,,,False,,,False,,,False,,,False,,
6810f281-a597-43e3-8a89-b1564fbe371f,6810f281-a597-43e3-8a89-b1564fbe371f,100-104 E Stewart Rd 609154,True,2025-11-07 00:21:53,,True,2025-11-07 00:21:53,2025-11-07 00:21:53,False,,,False,,,False,,,False,,,False,,
7d4dd6d1-f67c-4622-9da2-fe71e6e49264,7d4dd6d1-f67c-4622-9da2-fe71e6e49264,1001 SW TWIN CREEK DR 799828,True,2025-11-16 01:14:01,,True,2025-11-16 01:14:03,2025-11-16 01:14:03,False,,,False,,,False,,,False,,,False,,
eb56e14d-0002-49f9-b185-56c911e6a203,eb56e14d-0002-49f9-b185-56c911e6a203,1005 Bullard 204647,True,2025-09-20 14:45:46,,True,2025-09-20 14:45:46,2025-09-20 14:45:46,False,,,False,,,False,,,False,,,False,,
c0dc719c-5a2f-42bb-9f93-cef1d806f997,c0dc719c-5a2f-42bb-9f93-cef1d806f997,1008 Daniel Street 362462,True,2025-10-20 19:28:54,,True,2025-10-20 19:28:54,2025-10-20 19:28:54,False,,,False,,,False,,,False,,,False,,
2a2d4d7f-b965-4fe4-9e4d-77106a399375,2a2d4d7f-b965-4fe4-9e4d-77106a399375,101 Dalzell St 342301,True,2025-11-08 10:13:12,,True,2025-11-08 10:13:13,2025-11-08 10:13:13,False,,,False,,,False,,,False,,,False,,
f205ec4d-ca7e-435b-9977-2546e825977f,f205ec4d-ca7e-435b-9977-2546e825977f,"1010 Dallas Ct, Irwin, PA, 15642, US 796774",True,2025-10-28 20:37:26,,True,2025-10-28 20:37:26,2025-10-28 20:37:26,False,,,False,,,False,,,False,,,False,,
07518263-b8d4-4584-bcd4-af7b731b3b16,07518263-b8d4-4584-bcd4-af7b731b3b16,1010 n 17th 659099,True,2025-10-15 22:35:30,,True,2025-10-15 22:35:31,2025-10-15 22:35:31,False,,,False,,,False,,,False,,,False,,
d2a2d122-05ff-4167-bf7f-065a434d865a,d2a2d122-05ff-4167-bf7f-065a434d865a,10103 Snively Ave 703778,True,2025-10-08 20:11:08,,True,2025-10-08 20:11:08,2025-10-08 20:11:08,False,,,False,,,False,,,False,,,False,,
e3957fb4-48fd-4340-987e-f1f723e3c860,e3957fb4-48fd-4340-987e-f1f723e3c860,1011 Maxwell Dr. 792609,True,2025-10-09 18:12:31,,True,2025-10-09 18:12:32,2025-10-09 18:12:32,False,,,False,,,False,,,False,,,False,,
170b4296-d496-41af-b87e-a246a039ba4d,170b4296-d496-41af-b87e-a246a039ba4d,"1013 Arborway Lane, Midlothian, VA, 23114 757283",True,2025-10-14 06:34:19,,True,2025-10-14 06:34:20,2025-10-14 06:34:20,False,,,False,,,False,,,False,,,False,,
df9609a8-8554-46fc-914a-ddfcf129fd24,df9609a8-8554-46fc-914a-ddfcf129fd24,1016 Duplex 237268,True,2025-10-06 14:33:11,,True,2025-10-06 14:33:12,2025-10-06 14:33:12,False,,,False,,,False,,,False,,,False,,
e6ecc189-6e96-463a-b0f9-ec84f88e7bed,e6ecc189-6e96-463a-b0f9-ec84f88e7bed,1016 N Capitol 207260,True,2025-10-28 16:56:30,,True,2025-10-28 16:56:30,2025-10-28 16:56:30,False,,,False,,,False,,,False,,,False,,
418aea6e-9449-4be4-a221-c7c55427a063,418aea6e-9449-4be4-a221-c7c55427a063,1016 bluff view 122142,True,2025-10-24 21:33:41,,True,2025-10-24 21:33:41,2025-10-24 21:33:41,False,,,False,,,False,,,False,,,False,,
b4ad72c9-1683-4202-b0f8-adedc4adef74,b4ad72c9-1683-4202-b0f8-adedc4adef74,102 Batiste Garden Cir 791646,True,2025-10-06 22:18:23,,True,2025-10-06 22:18:23,2025-10-06 22:18:23,False,,,False,,,False,,,False,,,False,,
c6d56217-db62-49ac-abe0-29e8a10038d3,c6d56217-db62-49ac-abe0-29e8a10038d3,102-108 E High St 790862,True,2025-10-21 00:20:09,,True,2025-10-21 00:20:09,2025-10-21 00:20:09,False,,,False,,,False,,,False,,,False,,
66f2f6ae-6d5c-4686-b40d-b02addb21fa9,66f2f6ae-6d5c-4686-b40d-b02addb21fa9,1023 Hill Ave 745913,True,2025-09-19 00:09:59,,True,2025-09-19 00:09:59,2025-09-19 00:09:59,False,,,False,,,False,,,False,,,False,,
